Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2000 12:00:00 AM,Central,F,35 to 44,"31,495",768,2.44
01/01/2000 12:00:00 AM,Central,F,45 to 54,"26,226","1,511",5.76
01/01/2000 12:00:00 AM,Central,F,55 to 64,"16,435","1,737",10.57
01/01/2000 12:00:00 AM,Central,F,65 to 74,"12,286","1,952",15.89
01/01/2000 12:00:00 AM,Central,F,75 +,"13,232","2,605",19.69
01/01/2000 12:00:00 AM,Central,M,35 to 44,"29,412",581,1.98
01/01/2000 12:00:00 AM,Central,M,45 to 54,"24,474","1,188",4.85
01/01/2000 12:00:00 AM,Central,M,55 to 64,"15,633","1,735",11.1
01/01/2000 12:00:00 AM,Central,M,65 to 74,"10,640","2,057",19.33
01/01/2000 12:00:00 AM,Central,M,75 +,"7,410","2,124",28.66
01/01/2000 12:00:00 AM,Eastern,F,35 to 44,"13,410",398,2.97
01/01/2000 12:00:00 AM,Eastern,F,45 to 54,"13,245",815,6.15
01/01/2000 12:00:00 AM,Eastern,F,55 to 64,"9,165",999,10.9
01/01/2000 12:00:00 AM,Eastern,F,65 to 74,"7,041","1,002",14.23
01/01/2000 12:00:00 AM,Eastern,F,75 +,"8,316","1,448",17.41
01/01/2000 12:00:00 AM,Eastern,M,35 to 44,"12,720",312,2.45
01/01/2000 12:00:00 AM,Eastern,M,45 to 54,"13,635",803,5.89
01/01/2000 12:00:00 AM,Eastern,M,55 to 64,"9,264","1,125",12.14
01/01/2000 12:00:00 AM,Eastern,M,65 to 74,"6,392","1,356",21.21
01/01/2000 12:00:00 AM,Eastern,M,75 +,"4,910","1,471",29.96
01/01/2000 12:00:00 AM,Northern,F,35 to 44,"12,136",320,2.64
01/01/2000 12:00:00 AM,Northern,F,45 to 54,"11,436",719,6.29
01/01/2000 12:00:00 AM,Northern,F,55 to 64,"7,621",783,10.27
01/01/2000 12:00:00 AM,Northern,F,65 to 74,"5,974",991,16.59
01/01/2000 12:00:00 AM,Northern,F,75 +,"7,087","1,354",19.11
01/01/2000 12:00:00 AM,Northern,M,35 to 44,"11,808",266,2.25
01/01/2000 12:00:00 AM,Northern,M,45 to 54,"11,516",625,5.43
01/01/2000 12:00:00 AM,Northern,M,55 to 64,"7,855",819,10.43
01/01/2000 12:00:00 AM,Northern,M,65 to 74,"5,333","1,058",19.84
01/01/2000 12:00:00 AM,Northern,M,75 +,"4,128","1,303",31.56
01/01/2000 12:00:00 AM,Unknown,F,35 to 44,"8,993",165,1.83
01/01/2000 12:00:00 AM,Unknown,F,45 to 54,"5,984",261,4.36
01/01/2000 12:00:00 AM,Unknown,F,55 to 64,"3,659",292,7.98
01/01/2000 12:00:00 AM,Unknown,F,65 to 74,"2,436",323,13.26
01/01/2000 12:00:00 AM,Unknown,F,75 +,"2,722",416,15.28
01/01/2000 12:00:00 AM,Unknown,M,35 to 44,"8,227",117,1.42
01/01/2000 12:00:00 AM,Unknown,M,45 to 54,"5,690",206,3.62
01/01/2000 12:00:00 AM,Unknown,M,55 to 64,"3,450",283,8.2
01/01/2000 12:00:00 AM,Unknown,M,65 to 74,"2,143",335,15.63
01/01/2000 12:00:00 AM,Unknown,M,75 +,"1,498",378,25.23
01/01/2000 12:00:00 AM,Western,F,35 to 44,"16,737",431,2.58
01/01/2000 12:00:00 AM,Western,F,45 to 54,"15,661",762,4.87
01/01/2000 12:00:00 AM,Western,F,55 to 64,"11,029",854,7.74
01/01/2000 12:00:00 AM,Western,F,65 to 74,"8,379",940,11.22
01/01/2000 12:00:00 AM,Western,F,75 +,"9,632","1,243",12.9
01/01/2000 12:00:00 AM,Western,M,35 to 44,"15,988",339,2.12
01/01/2000 12:00:00 AM,Western,M,45 to 54,"15,412",754,4.89
01/01/2000 12:00:00 AM,Western,M,55 to 64,"11,107","1,002",9.02
01/01/2000 12:00:00 AM,Western,M,65 to 74,"7,837","1,299",16.58
01/01/2000 12:00:00 AM,Western,M,75 +,"6,267","1,607",25.64
01/01/2001 12:00:00 AM,Central,F,35 to 44,"31,660",806,2.55
01/01/2001 12:00:00 AM,Central,F,45 to 54,"26,862","1,671",6.22
01/01/2001 12:00:00 AM,Central,F,55 to 64,"17,535","1,989",11.34
01/01/2001 12:00:00 AM,Central,F,65 to 74,"12,305","2,072",16.84
01/01/2001 12:00:00 AM,Central,F,75 +,"13,639","2,778",20.37
01/01/2001 12:00:00 AM,Central,M,35 to 44,"29,542",597,2.02
01/01/2001 12:00:00 AM,Central,M,45 to 54,"25,158","1,294",5.14
01/01/2001 12:00:00 AM,Central,M,55 to 64,"16,654","1,876",11.26
01/01/2001 12:00:00 AM,Central,M,65 to 74,"10,890","2,232",20.5
01/01/2001 12:00:00 AM,Central,M,75 +,"7,635","2,217",29.04
01/01/2001 12:00:00 AM,Eastern,F,35 to 44,"13,073",474,3.63
01/01/2001 12:00:00 AM,Eastern,F,45 to 54,"13,382",927,6.93
01/01/2001 12:00:00 AM,Eastern,F,55 to 64,"9,613","1,133",11.79
01/01/2001 12:00:00 AM,Eastern,F,65 to 74,"7,169","1,094",15.26
01/01/2001 12:00:00 AM,Eastern,F,75 +,"8,317","1,566",18.83
01/01/2001 12:00:00 AM,Eastern,M,35 to 44,"12,418",329,2.65
01/01/2001 12:00:00 AM,Eastern,M,45 to 54,"13,679",887,6.48
01/01/2001 12:00:00 AM,Eastern,M,55 to 64,"9,782","1,277",13.05
01/01/2001 12:00:00 AM,Eastern,M,65 to 74,"6,466","1,439",22.25
01/01/2001 12:00:00 AM,Eastern,M,75 +,"4,950","1,566",31.64
01/01/2001 12:00:00 AM,Northern,F,35 to 44,"12,061",326,2.7
01/01/2001 12:00:00 AM,Northern,F,45 to 54,"11,530",777,6.74
01/01/2001 12:00:00 AM,Northern,F,55 to 64,"8,076",895,11.08
01/01/2001 12:00:00 AM,Northern,F,65 to 74,"6,008","1,039",17.29
01/01/2001 12:00:00 AM,Northern,F,75 +,"7,144","1,434",20.07
01/01/2001 12:00:00 AM,Northern,M,35 to 44,"11,641",287,2.47
01/01/2001 12:00:00 AM,Northern,M,45 to 54,"11,613",679,5.85
01/01/2001 12:00:00 AM,Northern,M,55 to 64,"8,356",913,10.93
01/01/2001 12:00:00 AM,Northern,M,65 to 74,"5,409","1,088",20.11
01/01/2001 12:00:00 AM,Northern,M,75 +,"4,193","1,359",32.41
01/01/2001 12:00:00 AM,Unknown,F,35 to 44,"8,694",159,1.83
01/01/2001 12:00:00 AM,Unknown,F,45 to 54,"5,961",290,4.86
01/01/2001 12:00:00 AM,Unknown,F,55 to 64,"3,810",309,8.11
01/01/2001 12:00:00 AM,Unknown,F,65 to 74,"2,360",345,14.62
01/01/2001 12:00:00 AM,Unknown,F,75 +,"2,701",418,15.48
01/01/2001 12:00:00 AM,Unknown,M,35 to 44,"8,052",126,1.56
01/01/2001 12:00:00 AM,Unknown,M,45 to 54,"5,680",221,3.89
01/01/2001 12:00:00 AM,Unknown,M,55 to 64,"3,580",298,8.32
01/01/2001 12:00:00 AM,Unknown,M,65 to 74,"2,125",341,16.05
01/01/2001 12:00:00 AM,Unknown,M,75 +,"1,470",371,25.24
01/01/2001 12:00:00 AM,Western,F,35 to 44,"16,441",438,2.66
01/01/2001 12:00:00 AM,Western,F,45 to 54,"15,813",856,5.41
01/01/2001 12:00:00 AM,Western,F,55 to 64,"11,749",974,8.29
01/01/2001 12:00:00 AM,Western,F,65 to 74,"8,422",988,11.73
01/01/2001 12:00:00 AM,Western,F,75 +,"9,730","1,374",14.12
01/01/2001 12:00:00 AM,Western,M,35 to 44,"15,744",371,2.36
01/01/2001 12:00:00 AM,Western,M,45 to 54,"15,574",835,5.36
01/01/2001 12:00:00 AM,Western,M,55 to 64,"11,656","1,109",9.51
01/01/2001 12:00:00 AM,Western,M,65 to 74,"8,033","1,383",17.22
01/01/2001 12:00:00 AM,Western,M,75 +,"6,381","1,684",26.39
01/01/2002 12:00:00 AM,Central,F,35 to 44,"31,852",863,2.71
01/01/2002 12:00:00 AM,Central,F,45 to 54,"27,386","1,770",6.46
01/01/2002 12:00:00 AM,Central,F,55 to 64,"18,758","2,222",11.85
01/01/2002 12:00:00 AM,Central,F,65 to 74,"12,417","2,127",17.13
01/01/2002 12:00:00 AM,Central,F,75 +,"13,897","2,944",21.18
01/01/2002 12:00:00 AM,Central,M,35 to 44,"29,436",615,2.09
01/01/2002 12:00:00 AM,Central,M,45 to 54,"25,886","1,409",5.44
01/01/2002 12:00:00 AM,Central,M,55 to 64,"17,838","2,066",11.58
01/01/2002 12:00:00 AM,Central,M,65 to 74,"11,076","2,296",20.73
01/01/2002 12:00:00 AM,Central,M,75 +,"7,876","2,326",29.53
01/01/2002 12:00:00 AM,Eastern,F,35 to 44,"12,629",473,3.75
01/01/2002 12:00:00 AM,Eastern,F,45 to 54,"13,552","1,013",7.47
01/01/2002 12:00:00 AM,Eastern,F,55 to 64,"10,159","1,283",12.63
01/01/2002 12:00:00 AM,Eastern,F,65 to 74,"7,212","1,216",16.86
01/01/2002 12:00:00 AM,Eastern,F,75 +,"8,380","1,709",20.39
01/01/2002 12:00:00 AM,Eastern,M,35 to 44,"12,070",342,2.83
01/01/2002 12:00:00 AM,Eastern,M,45 to 54,"13,672",937,6.85
01/01/2002 12:00:00 AM,Eastern,M,55 to 64,"10,324","1,418",13.73
01/01/2002 12:00:00 AM,Eastern,M,65 to 74,"6,578","1,527",23.21
01/01/2002 12:00:00 AM,Eastern,M,75 +,"4,997","1,639",32.8
01/01/2002 12:00:00 AM,Northern,F,35 to 44,"11,814",330,2.79
01/01/2002 12:00:00 AM,Northern,F,45 to 54,"11,671",836,7.16
01/01/2002 12:00:00 AM,Northern,F,55 to 64,"8,656","1,019",11.77
01/01/2002 12:00:00 AM,Northern,F,65 to 74,"6,002","1,094",18.23
01/01/2002 12:00:00 AM,Northern,F,75 +,"7,198","1,511",20.99
01/01/2002 12:00:00 AM,Northern,M,35 to 44,"11,424",279,2.44
01/01/2002 12:00:00 AM,Northern,M,45 to 54,"11,772",725,6.16
01/01/2002 12:00:00 AM,Northern,M,55 to 64,"8,799",980,11.14
01/01/2002 12:00:00 AM,Northern,M,65 to 74,"5,521","1,152",20.87
01/01/2002 12:00:00 AM,Northern,M,75 +,"4,294","1,436",33.44
01/01/2002 12:00:00 AM,Unknown,F,35 to 44,"8,509",166,1.95
01/01/2002 12:00:00 AM,Unknown,F,45 to 54,"5,957",306,5.14
01/01/2002 12:00:00 AM,Unknown,F,55 to 64,"3,970",321,8.09
01/01/2002 12:00:00 AM,Unknown,F,65 to 74,"2,315",341,14.73
01/01/2002 12:00:00 AM,Unknown,F,75 +,"2,640",455,17.23
01/01/2002 12:00:00 AM,Unknown,M,35 to 44,"7,967",120,1.51
01/01/2002 12:00:00 AM,Unknown,M,45 to 54,"5,621",228,4.06
01/01/2002 12:00:00 AM,Unknown,M,55 to 64,"3,691",306,8.29
01/01/2002 12:00:00 AM,Unknown,M,65 to 74,"2,113",360,17.04
01/01/2002 12:00:00 AM,Unknown,M,75 +,"1,473",370,25.12
01/01/2002 12:00:00 AM,Western,F,35 to 44,"16,026",444,2.77
01/01/2002 12:00:00 AM,Western,F,45 to 54,"15,997",940,5.88
01/01/2002 12:00:00 AM,Western,F,55 to 64,"12,408","1,101",8.87
01/01/2002 12:00:00 AM,Western,F,65 to 74,"8,562","1,070",12.5
01/01/2002 12:00:00 AM,Western,F,75 +,"9,817","1,444",14.71
01/01/2002 12:00:00 AM,Western,M,35 to 44,"15,281",392,2.57
01/01/2002 12:00:00 AM,Western,M,45 to 54,"15,850",895,5.65
01/01/2002 12:00:00 AM,Western,M,55 to 64,"12,291","1,193",9.71
01/01/2002 12:00:00 AM,Western,M,65 to 74,"8,208","1,402",17.08
01/01/2002 12:00:00 AM,Western,M,75 +,"6,446","1,746",27.09
01/01/2003 12:00:00 AM,Central,F,35 to 44,"31,591",881,2.79
01/01/2003 12:00:00 AM,Central,F,45 to 54,"28,308","1,934",6.83
01/01/2003 12:00:00 AM,Central,F,55 to 64,"19,767","2,465",12.47
01/01/2003 12:00:00 AM,Central,F,65 to 74,"12,644","2,294",18.14
01/01/2003 12:00:00 AM,Central,F,75 +,"14,099","3,126",22.17
01/01/2003 12:00:00 AM,Central,M,35 to 44,"29,416",602,2.05
01/01/2003 12:00:00 AM,Central,M,45 to 54,"26,685","1,534",5.75
01/01/2003 12:00:00 AM,Central,M,55 to 64,"18,773","2,250",11.99
01/01/2003 12:00:00 AM,Central,M,65 to 74,"11,349","2,389",21.05
01/01/2003 12:00:00 AM,Central,M,75 +,"8,078","2,423",30
01/01/2003 12:00:00 AM,Eastern,F,35 to 44,"12,234",486,3.97
01/01/2003 12:00:00 AM,Eastern,F,45 to 54,"13,654","1,138",8.33
01/01/2003 12:00:00 AM,Eastern,F,55 to 64,"10,611","1,419",13.37
01/01/2003 12:00:00 AM,Eastern,F,65 to 74,"7,283","1,290",17.71
01/01/2003 12:00:00 AM,Eastern,F,75 +,"8,379","1,820",21.72
01/01/2003 12:00:00 AM,Eastern,M,35 to 44,"11,751",368,3.13
01/01/2003 12:00:00 AM,Eastern,M,45 to 54,"13,691","1,001",7.31
01/01/2003 12:00:00 AM,Eastern,M,55 to 64,"10,736","1,534",14.29
01/01/2003 12:00:00 AM,Eastern,M,65 to 74,"6,738","1,603",23.79
01/01/2003 12:00:00 AM,Eastern,M,75 +,"5,072","1,670",32.93
01/01/2003 12:00:00 AM,Northern,F,35 to 44,"11,577",351,3.03
01/01/2003 12:00:00 AM,Northern,F,45 to 54,"11,828",856,7.24
01/01/2003 12:00:00 AM,Northern,F,55 to 64,"9,052","1,149",12.69
01/01/2003 12:00:00 AM,Northern,F,65 to 74,"6,142","1,197",19.49
01/01/2003 12:00:00 AM,Northern,F,75 +,"7,207","1,588",22.03
01/01/2003 12:00:00 AM,Northern,M,35 to 44,"11,250",269,2.39
01/01/2003 12:00:00 AM,Northern,M,45 to 54,"11,875",769,6.48
01/01/2003 12:00:00 AM,Northern,M,55 to 64,"9,215","1,099",11.93
01/01/2003 12:00:00 AM,Northern,M,65 to 74,"5,649","1,210",21.42
01/01/2003 12:00:00 AM,Northern,M,75 +,"4,364","1,474",33.78
01/01/2003 12:00:00 AM,Unknown,F,35 to 44,"8,299",170,2.05
01/01/2003 12:00:00 AM,Unknown,F,45 to 54,"5,936",314,5.29
01/01/2003 12:00:00 AM,Unknown,F,55 to 64,"4,069",340,8.36
01/01/2003 12:00:00 AM,Unknown,F,65 to 74,"2,290",348,15.2
01/01/2003 12:00:00 AM,Unknown,F,75 +,"2,601",483,18.57
01/01/2003 12:00:00 AM,Unknown,M,35 to 44,"7,837",136,1.74
01/01/2003 12:00:00 AM,Unknown,M,45 to 54,"5,602",239,4.27
01/01/2003 12:00:00 AM,Unknown,M,55 to 64,"3,803",330,8.68
01/01/2003 12:00:00 AM,Unknown,M,65 to 74,"2,085",342,16.4
01/01/2003 12:00:00 AM,Unknown,M,75 +,"1,456",378,25.96
01/01/2003 12:00:00 AM,Western,F,35 to 44,"15,714",443,2.82
01/01/2003 12:00:00 AM,Western,F,45 to 54,"16,227","1,001",6.17
01/01/2003 12:00:00 AM,Western,F,55 to 64,"12,952","1,193",9.21
01/01/2003 12:00:00 AM,Western,F,65 to 74,"8,757","1,152",13.16
01/01/2003 12:00:00 AM,Western,F,75 +,"9,919","1,555",15.68
01/01/2003 12:00:00 AM,Western,M,35 to 44,"14,966",370,2.47
01/01/2003 12:00:00 AM,Western,M,45 to 54,"15,993",945,5.91
01/01/2003 12:00:00 AM,Western,M,55 to 64,"12,913","1,321",10.23
01/01/2003 12:00:00 AM,Western,M,65 to 74,"8,369","1,488",17.78
01/01/2003 12:00:00 AM,Western,M,75 +,"6,560","1,814",27.65
01/01/2004 12:00:00 AM,Central,F,35 to 44,"31,473",880,2.8
01/01/2004 12:00:00 AM,Central,F,45 to 54,"29,255","2,123",7.26
01/01/2004 12:00:00 AM,Central,F,55 to 64,"20,703","2,697",13.03
01/01/2004 12:00:00 AM,Central,F,65 to 74,"12,888","2,449",19
01/01/2004 12:00:00 AM,Central,F,75 +,"14,240","3,264",22.92
01/01/2004 12:00:00 AM,Central,M,35 to 44,"29,311",603,2.06
01/01/2004 12:00:00 AM,Central,M,45 to 54,"27,493","1,632",5.94
01/01/2004 12:00:00 AM,Central,M,55 to 64,"19,710","2,379",12.07
01/01/2004 12:00:00 AM,Central,M,65 to 74,"11,563","2,443",21.13
01/01/2004 12:00:00 AM,Central,M,75 +,"8,331","2,547",30.57
01/01/2004 12:00:00 AM,Eastern,F,35 to 44,"11,888",505,4.25
01/01/2004 12:00:00 AM,Eastern,F,45 to 54,"13,794","1,254",9.09
01/01/2004 12:00:00 AM,Eastern,F,55 to 64,"10,983","1,548",14.09
01/01/2004 12:00:00 AM,Eastern,F,65 to 74,"7,401","1,404",18.97
01/01/2004 12:00:00 AM,Eastern,F,75 +,"8,414","1,885",22.4
01/01/2004 12:00:00 AM,Eastern,M,35 to 44,"11,512",372,3.23
01/01/2004 12:00:00 AM,Eastern,M,45 to 54,"13,648","1,086",7.96
01/01/2004 12:00:00 AM,Eastern,M,55 to 64,"11,272","1,671",14.82
01/01/2004 12:00:00 AM,Eastern,M,65 to 74,"6,886","1,688",24.51
01/01/2004 12:00:00 AM,Eastern,M,75 +,"5,084","1,713",33.69
01/01/2004 12:00:00 AM,Northern,F,35 to 44,"11,400",352,3.09
01/01/2004 12:00:00 AM,Northern,F,45 to 54,"11,978",913,7.62
01/01/2004 12:00:00 AM,Northern,F,55 to 64,"9,487","1,282",13.51
01/01/2004 12:00:00 AM,Northern,F,65 to 74,"6,232","1,265",20.3
01/01/2004 12:00:00 AM,Northern,F,75 +,"7,273","1,705",23.44
01/01/2004 12:00:00 AM,Northern,M,35 to 44,"11,071",270,2.44
